[[ 797572.3932507201, -589342.47816484, 1197136.4874605502, 465544.88192278997, 582974.89571521, -122128.56482059007, -69904.49053285981, 1649630.8768264202, -1594896.80843794, 1510136.4081454298],
[ -496125.96128213, -717346.2446321601, 93170.41232195999, -579274.8695483102, 407098.37263262033, 301620.2728120499, 1023589.3649087901, 751491.3048643799, -1872642.39451878, 2995130.34237972],
[ -433902.90028784, -306989.9928501399, 67551.80780829013, -224900.4666569001, 821698.2142850301, 667103.82455233, -119723.58709135007, 1852681.43026919, -1965488.8695217003, 2888358.92709333],
[ -36434.52294279995, -520116.46424706007, -38778.78880811005, 32828.23703993001, 953462.49477315, 529427.87872736, 457128.60137259006, 197826.32826105008, -1372349.65900663, 1851223.5513186],
[ 18175.99961969001, -1424422.10660167, 752753.09582755, 232779.31041847996, 13244.31646580015, 442435.66662869, -460278.95248917997, 1445367.1630296002, -1997979.5517550004, 2648284.64466482],
[ 1155977.43982412, -1194587.2796164101, 579379.6451769999, 555884.69353903, 939327.1267996401, 340276.8797806899, 443349.4488914402, 778739.15522135, -1683161.34023841, 1911291.4414772799],
[ -228666.41415854002, -632801.50797052, 603795.9310829499, -115470.09059618998, 273852.44289313006, -307267.11138323, -109314.24927684001, 474831.06912530994, -2067028.3575806804, 1167514.14733521],
[ 16184.234739500049, -141191.13535517012, 233602.57959365984, -34879.11560660001, 1837517.6314697205, 640755.6131704701, 551935.34555019, 936855.51401134, -1914145.1768096501, 2016178.9772504498],
[ 195517.05570030014, -183891.96186919993, -512185.82209066005, -420248.84597185993, 1624195.90081246, 220926.37822699008, 682363.1506857299, 1597564.55016172, -2605135.8364547305, 2144239.4524940997],
[ -288897.54272716, 34343.044336929925, 1453724.2021812901, -132211.80286190004, -805649.0034144701, -1177398.8160497001, -550866.4567193402, 816412.0839912099, -1911805.0319603903, 1085521.1089764498],
[ -647177.4546855199, -360624.05544006015, -360285.0274380601, -219628.35241868004, 957358.1580293899, 385745.8450529499, 107425.52782617998, 390447.6737899101, -2154868.48118472, 2283504.6224337597],
[ -610791.86771722, 810482.8830974299, 444740.22685111, 672466.47963382, 2206698.003283071, 1044311.41640562, -1219185.7108394501, 1084531.43842386, -1685145.9345338203, 1514694.6586004598]]
